idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
90,SCOTCH,G,DELTA MARINE,,4.8,2.1,0.78,MERCURY 60,,REY 031828,2015-08-01,1,2015-08-07,,,,1,,0,2016-02-28,,0,
91,GEMA,MO,SEA DOO,,3.36,1.23,0.33,ROTAX 130HP,M7134087,E/T,2018-06-01,1,2018-06-01,,,,0,,0,,,1,2019-12-27
92,MARBELLA,M2,KLASE A,42,12.8,3.85,2.33,FPT,1222506 / 1270986,REY 079150,2015-05-01,1,2015-05-14,,,,0,,0,,,0,
93,CHEETA XVI,G,CHRIS CRAFT,,6.9,2.1,0.96,MERCURY 5.0MPI 260HP,1A651873,REY 061972,2015-08-01,1,2015-08-07,,,,1,,0,2016-02-28,,0,
94,ACATIKI,M1,,,7.9,2.8,0.9,VOLVO PENTA 300 hp,,REY 028292,,0,,,,,1,,0,,,0,
95,CHEETA XV,G,CHRIS CRAFT,,5.65,2.2,0.91,CRYSLEIR V8,40236,REY 09640,2015-08-01,1,2015-08-07,,,,1,,0,2016-02-28,,0,
96,MORROCOY,M1,KLASE A,32,9.47,3.05,1.73,VOLVO PENTA,2300078420,REY 043409,,0,,,,,1,,0,,,0,
97,BLACK BIRD,M1,CANESTRARI,32,9.65,3.5,1.85,VOLVO PENTA,A111231 / A122019,REY 055447,2014-10-01,1,2014-10-15,,,,0,,0,,,1,2021-01-31
98,DEFINITIVE,M1,CUSTON 32,,9.14,2.85,1.43,MERCRUISER,1A054644,REY 044573,2017-03-01,1,2017-02-25,,,,0,,0,,,1,2021-03-31
99,HAPPY HOURS,M1,SEGUE 32,,9.47,3.05,1.73,VOLVO PENTA,A267294,REY 069212,2017-03-01,1,2017-03-09,,,,1,,0,,,0,
100,SABATO,M1,PONY RIVER,760,7.6,2.4,1.23,MERCURY 150HP,2B054597,TIGER 9117/13,2013-02-01,1,2013-02-01,,,,1,,0,2017-01-07,,0,
101,LELY POPPY,M1,TRENTO,275,7.5,2.5,1.83,VOLVO PENTA,A500366,REY 077969,2016-04-01,1,2016-04-09,,,,1,,0,2018-03-11,,0,
102,KILAUEA,M1,SEGUE,34,10.36,3.05,1.73,VOLVO PENTA,A431024 / A431018,REY 071772,2017-09-01,1,2017-09-15,,,,0,,0,2019-08-28,,0,
103,CALANDRAKADOS,M1,CUSTOM COMPAC,,9.6,3.6,1.63,VOLVO PENTA,A160301,REY 056098,,0,,,,,1,,0,,,0,
104,ASHERIT,M1,SEGUE,34,9.47,3.05,1.73,,,SFER 346118,2018-01-01,1,2018-01-04,,,,0,,0,2019-01-05,,0,
105,FIRULETA,MO,,,3.22,1.17,0.42,YAMAHA 80 HP,6AE-1005658,SISI-03292,2015-08-01,1,2015-08-07,,,,0,,0,,,0,
