idembarcaciones,nombre,tipo,marca,modelo,eslora,manga,puntal,motores,serie_motores,num_matricula,fecha_ingreso,contrato,contrato_fecha,contrato_path,reglamento,reglamento_path,matricula,matricula_path,seguro,seguro_fecha,seguro_path,baja,baja_fecha
211,REZZONICO,G,KLASE A,235,7.16,,,,,,2020-11-01,1,2020-11-01,,,,0,,0,,,0,
212,BUENA VISTA,M1,TRENTO,340,10.36,,,,,,2020-11-01,1,2020-11-04,,,,0,,0,,,0,
213,AZUL PROFUNDO,G,QUICKSILVER,1800,5.46,2.36,1.03,HONDA 130HP,BZBE1303601,REY 037618,2020-11-01,1,2020-11-05,,,,1,,0,,,0,
214,GREAT BAMBINO,G,QUICKSILVER,1800,5.5,,,,,,2020-11-01,1,2020-11-06,,,,0,,0,,,0,
215,BMW WELT,MO,,,3.53,1.22,0.33,,,,2020-11-01,1,2020-11-07,,,,0,,0,,,0,
216,NOELIA,G,,,6.43,,,,,030598REY,2020-11-01,1,2020-11-07,,,,1,,0,2021-08-30,,0,
217,TISO II,G,CANESTRARI,1900,5.63,2.15,1.08,MERCRUISER,2A499705,REY080097,2020-11-01,1,2020-11-13,,,,0,,1,2021-11-17,,0,
218,PAMPA2,G,CANESTRARI,OPEN 208,5.89,,,,,E/T,2020-11-01,1,2020-11-07,,,,0,,1,2021-12-10,,0,
219,GITANA,M2,ALTAMAR,50,15.6,4.5,1.55,VOLVO PENTA,2006038857 / 2006038856,052352REY,2020-11-01,1,2020-11-19,,,,1,,0,2020-12-05,,0,
220,FRATELLI,M1,GENESIS,290,9.8,,,,,E/T,2020-12-01,1,2020-11-26,,,,0,,0,,,0,
221,PINUP,G,CANESTRARI,DONZI,6.9,2.1,0.96,MERCRUISER 260HP,V11080,REY050720,2020-12-01,1,2020-11-29,,,,1,,0,2021-02-17,,0,
222,NEW LIFE,M1,KLASE A,34,10.36,,,,,,2020-12-01,1,2020-11-30,,,,0,,0,,,1,2021-01-31
223,BLUEWAY,M1,SANTANA,35,10.64,3.66,,,,031870REY,2020-12-01,1,2020-12-05,,,,1,,0,2021-03-07,,0,
224,YESSY DOLL,G,QUICKSILVER,2000,5.98,2.45,1.17,,,073101REY,2020-12-01,1,2020-12-07,,,,0,,0,,,0,
225,CLAPTONE,MO,,,3.36,1.25,0.33,ROTAX,MN471547,SFER03162,2020-12-01,1,2020-12-01,,,,1,,0,,,0,
226,BABY G,MO,,,3.36,1.25,0.33,,,,2020-01-01,1,2020-01-07,,,,0,,0,,,1,2021-06-30
227,EXIMIA,G,QUICK SILVER,,5.98,2.45,1.17,VOLVO PENTA 5.0HP,4012134757,REY 037836,2020-11-01,1,2020-11-11,,,,0,,0,,,0,
228,LOLITA,M2,KLASE A,42 HARDTOP,12.94,3.85,2.33,VOLVO PENTA 435 HP X 2,A537980 / A537979,REY079833,2020-12-01,1,2020-12-17,,,,0,,1,2021-11-27,,1,2020-12-30
229,NARELU IV,M1,CUSTON,,12.06,4.03,1.89,NANNI 260HP X2,T507090414 / T507090415,052404REY,2020-12-01,1,2020-12-12,,,,0,,0,2021-04-17,,1,2021-02-26
230,LA CAPITANA,G,QUICK SILVER,2400,7.32,2.59,1.08,VOLVO PENTA 225HP,A380131,SFER2159/15,2020-12-01,1,2020-12-12,,,,0,,0,,,0,
231,CHEER UP,M1,KLASE A,32,9.8,3.05,1.45,VOLVO PENTA 285HP,2300077704,041198REY,2021-01-01,1,2020-12-24,,,,1,,0,,,0,
232,TIMPALA,M1,,,9.8,,,,,,2021-01-01,1,2020-12-24,,,,0,,0,,,0,
233,BLUE_,G,BAYLINER,23.5,7.16,,,,,,2021-01-01,1,2021-01-01,,,,0,,0,,,1,2021-06-30
234,VIKINGO,M2,MEDITERRANEAN,440,13.4,3.12,1.97,REY  073576,A386212 / A386211,REY 022360,2021-01-01,1,2020-12-30,,,,1,,0,,,0,
235,PULGA,MO,YAMAHA,VX DELUXE,3.35,1.18,0.49,,,TIGR05645,2020-12-01,1,2020-12-01,,,,1,,1,2021-11-20,,0,
236,OLIMPIA,M2,,,12,4,1.72,CUMMINS 300HP x 2,10341213 / 10342276,013170REY,2021-01-01,1,2021-01-16,,,,1,,0,2021-09-17,,0,
237,YETI,MO,YAMAHA,EXR 1050,3.33,1.23,0.59,,,EX-2021-04010249-APN-ESCO#PNA,2021-01-01,1,2021-01-18,,,,0,,1,2022-01-14,,0,
238,MONESIGLIO,G,JEANNEAU,5.5,5.15,2.27,1.21,MERCURY 115HP,2B806002,E/T,2021-02-01,1,2021-02-01,,,,0,,0,,,0,
239,YARARA X,M2,,,12.68,3.95,2.29,IVECO 370 HP x 2,32767 / 329775,043216REY,2021-02-01,1,2021-01-25,,,,0,,0,2021-04-03,,1,2021-02-28
240,PANTERA,G,,,7.2,,,,,,2021-02-01,1,2021-01-22,,,,0,,0,,,0,
241,SEA BREEZE,M1,,,8.13,2.59,1.2,VOLVO PENTA 260HP,2204403556,031818REY,2021-02-01,1,2021-01-27,,,,1,,1,2022-02-02,,1,2021-04-30
242,MAHAPRABHU,G,TRACKER,,5.19,1.96,0.73,YAMAHA 60HP,6H2K-1016770,QUIL-1656/15,2021-02-01,1,2021-01-25,,,,1,,0,2021-09-02,,0,
243,INDIO,M1,SK,35,10.6,3.7,1.98,VOLVO PENTA 165HP x 2,AQAD22411 / AQAD 24525,018762REY,2021-02-01,1,2021-01-29,,,,1,,0,2021-05-12,,1,2021-06-11
244,INDIANA,G,AUXILIAR,,4.52,1.89,0.72,YAMAHA 40HP,1184112,DLUJ428,2021-02-01,1,2021-01-29,,,,1,,1,2021-11-10,,1,2021-06-11
245,ANNECY,G,BERMUDA,TWENTY,5.85,2.45,1.12,EVINRUDE,5384168,REY074407,2021-02-01,1,2021-01-30,,,,0,,0,2021-02-08,,0,
246,RAPTOR,G,,,5.48,,,YAMAHA 4T 2015,,076719REY,2021-02-01,1,2021-01-29,,,,0,,0,,,1,2021-03-31
247,MATCH POINT,G,QUICKSILVER,2500,7.69,2.56,1.63,YAMAHA 300HP F/B,6CE1038114,081358REY,2021-02-01,1,2021-02-04,,,,1,,0,,,0,
248,AVENTURA,G,BERMUDA,TWENTY,5.85,2.45,1.12,MERCURY 150HP,2B464329,EXT77736,2021-02-01,1,2021-02-05,,,,0,,1,2022-02-01,,0,
249,FAIVEL,M1,,,8.93,2.85,1.78,VOLVO PENTA 350HP,A1117574,EXT77473,2021-02-01,1,2021-02-05,,,,0,,1,2022-02-05,,0,
250,SOBERANO,M1,GENESIS,38,11.46,3.75,,,,,2021-02-01,1,2021-02-11,,,,0,,0,,,0,
251,SMOKY MOUNTAIN,G,NORTH CAROLINA,17V,5.2,1.95,0.75,YAMAHA 70HP,6CJ-1077894,087104REY,2021-03-01,1,2021-03-01,,,,1,,1,2021-12-02,,0,
252,PROVIDENCIA,G,,,4.4,1.82,0.74,MERCURY 50HP,1C603163,SFER03201,2021-05-01,1,2021-04-21,,,,1,,0,,,0,
253,WILDCAT,G,CHRIS CRAFT,280,7.59,2.53,1.54,OMC 300HP,TO-1268948,026013REY,2021-05-01,1,2021-05-05,,,,1,,0,,,0,
254,ULISES,M3,VER ESLORA,,16.8,4.64,3,YANMAR X 2,6684930 / 6685229,067229REY,2021-06-01,1,2021-06-03,,,,1,,0,,,0,
255,BLUE,G,BAYLINER,23.5,7.16,,,,,,2021-07-01,1,2021-07-05,,,,0,,1,2021-12-03,,0,
256,LORD JHON,M2,GENESIS,DEL MAR,14.2,4.15,2.5,CUMMINS 480HP X 2,74077891 / 74077902,085074REY,2021-07-01,1,2021-06-25,,,,1,,0,2021-07-27,,0,
257,BABY G,MO,SEA DOO,90 TRIX,3,,,90HP,,,2021-07-01,1,2021-06-25,,,,0,,0,,,0,
258,MAGU II,M1,SK,35,10.7,3.6,1.75,MERCRUISER,,0309741REY,2021-06-01,1,2021-06-02,,,,0,,0,,,0,
259,AQUA DOLCE,M3,RIVIERA,48,15.2,4.44,2.6,VOLVO PENTA 435HP X 2,2006020638 / 2006020736,045530REY,2021-07-01,1,2021-06-25,,,,1,,1,2022-01-06,,0,
260,ZAFIRO,M1,TRENTO,320 SUCCESS,9.8,,,,,,2021-07-01,1,2021-06-26,,,,0,,0,,,0,
261,COLOSO,M2,GENESIS,DEL MAR,16,4.15,2.5,CUMMINS 480HP X 2,74269499 / 74269489,085962REY,2021-08-01,1,2021-08-04,,,,1,,1,2022-04-30,,0,
262,LA FUGA,G,TRAKKER,625,6.25,1.98,0.72,MERCURY 90 4T,2B763563,E/T,2021-07-01,1,2021-07-07,,,,0,,0,,,0,
263,PEREGRINO,M2,MARCO POLO,42,12.8,4.25,2.16,YANMAR 311 HP X 2,4978 / 4979,089451REY,2021-08-01,1,2021-08-06,,,,1,,0,,,0,
264,CARTAGENA II,G,QUICK SILVER,2400,7.32,2.59,1.58,VOLVO PENTA 270V8,A214801,REY 061920,2021-08-01,1,2021-07-26,,,,0,,0,,,0,
265,LITTLE CARAMBA,G,SUPER AIR NAUTIQUE,,7.5,,,PCM,,,2021-08-01,1,2021-08-01,,,,0,,0,,,0,
266,BUNI,M2,EGEO,46,14.5,4.25,2.3,IVECO 400HP X 2,1307398 / 1307413,085620REY,2021-08-01,1,2021-08-11,,,,0,,0,,,0,
267,MUSH,M3,ANTAGO,21,21,5.44,2.7,MAN 1200HP X 2,7000400114A301 / 7000400171A301,026629 REY,2021-09-01,1,2021-08-25,,,,1,,1,2022-05-31,,0,
268,DON JUAN,M2,GENESIS,380,11.46,3.75,2.26,YANMAR 315HP X 2,4187 / 4188,075939REY,,0,,,,,1,,1,2022-08-01,,0,
269,POLI,M1,TRENTO,305,9.33,2.75,1.82,MERCRUISER 300HP,2A679582,090169REY,2021-10-01,1,2021-10-14,,,,0,,0,2021-10-12,,0,
